name,formula,category,subcategory,density,melting_point,boiling_point,thermal_conductivity,specific_heat,thermal_expansion,electrical_resistivity,yield_strength,tensile_strength,youngs_modulus,hardness_vickers,poissons_ratio,source,mp_material_id,notes,glass_transition_temp,heat_deflection_temp,processing_temp_min_c,processing_temp_max_c,crystallinity,fracture_toughness,weibull_modulus,interlaminar_shear_strength,fiber_volume_fraction
LiNiO2,LiNiO2,Ceramic,Oxide,4.795,,,,,,,,,144.70958919551688,,,JARVIS dft_3d (scraped),,JVASP-18433,,,,,,,,,
Te4MoW,Te4MoW,Metal,Non-Ferrous,6.254,,,,,,,,,40.00588823686317,,,JARVIS dft_3d (scraped),,JVASP-29024,,,,,,,,,
SnHgO3,SnHgO3,Ceramic,Oxide,9.323,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-97985,,,,,,,,,
PbBr2,PbBr2,Metal,Non-Ferrous,5.289,,,,,,,,,24.785368190813458,,,JARVIS dft_3d (scraped),,JVASP-22721,,,,,,,,,
Fe2B,Fe2B,Ceramic,Boride,6.721,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-86154,,,,,,,,,
HgHClO4,HgHClO4,Ceramic,Oxide,5.134,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-32197,,,,,,,,,
YbAsPd,YbAsPd,Metal,Non-Ferrous,10.2,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-16112,,,,,,,,,
EuCuBi,EuCuBi,Metal,Non-Ferrous,9.771,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-85557,,,,,,,,,
LiFeF3,LiFeF3,Ceramic,Mixed,4.084,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-43739,,,,,,,,,
K2TcCl6,K2TcCl6,Ceramic,Mixed,2.789,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-3828,,,,,,,,,
SmSb2Au,SmSb2Au,Metal,Non-Ferrous,9.795,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-91564,,,,,,,,,
LaMgSi2,LaMgSi2,Ceramic,Mixed,4.208,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-97732,,,,,,,,,
V6O7F5,V6O7F5,Ceramic,Oxide,4.36,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-43842,,,,,,,,,
Nd3S2Br5,Nd3S2Br5,Ceramic,Mixed,5.306,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-98494,,,,,,,,,
Ho3Co2Ge4,Ho3Co2Ge4,Metal,Non-Ferrous,8.999,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-89901,,,,,,,,,
YAl3,YAl3,Metal,Non-Ferrous,2.366,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-4729,,,,,,,,,
Sr2TaN3,Sr2TaN3,Ceramic,Nitride,6.188,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-97336,,,,,,,,,
Ba4YRh,Ba4YRh,Metal,Non-Ferrous,5.109,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-63913,,,,,,,,,
BaSm2CoO5,BaSm2CoO5,Ceramic,Oxide,7.338,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-87903,,,,,,,,,
LiTaO3,LiTaO3,Ceramic,Oxide,6.786,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-49773,,,,,,,,,
BiClO,BiClO,Ceramic,Oxide,7.575,,,,,,,,,87.5489583245366,,,JARVIS dft_3d (scraped),,JVASP-3534,,,,,,,,,
CrS2,CrS2,Ceramic,Mixed,2.923,,,,,,,,,35.011279509586544,,,JARVIS dft_3d (scraped),,JVASP-15831,,,,,,,,,
Li2MnCuO4,Li2MnCuO4,Ceramic,Oxide,4.596,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-43424,,,,,,,,,
Ba4VMo,Ba4VMo,Metal,Non-Ferrous,4.904,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-64130,,,,,,,,,
Sm2SeO2,Sm2SeO2,Ceramic,Oxide,7.303,,,,,,,,,152.24175497446063,,,JARVIS dft_3d (scraped),,JVASP-3252,,,,,,,,,
PdF3,PdF3,Ceramic,Mixed,4.857,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-14081,,,,,,,,,
HfTlCuS3,HfTlCuS3,Ceramic,Mixed,7.042,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-98173,,,,,,,,,
LiYSe2,LiYSe2,Metal,Non-Ferrous,4.595,,,,,,,,,69.84460715580806,,,JARVIS dft_3d (scraped),,JVASP-1837,,,,,,,,,
NaFePO4,NaFePO4,Ceramic,Oxide,3.695,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-48383,,,,,,,,,
LiNiN,LiNiN,Ceramic,Nitride,3.489,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-18544,,,,,,,,,
MgIn2O4,MgIn2O4,Ceramic,Oxide,5.866,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-53071,,,,,,,,,
LiH4SNO4,LiH4SNO4,Ceramic,Oxide,1.942,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-97428,,,,,,,,,
YbNi5,YbNi5,Metal,Non-Ferrous,9.801,,,,,,,,,176.06129479910757,,,JARVIS dft_3d (scraped),,JVASP-14997,,,,,,,,,
Ba4TiNb,Ba4TiNb,Metal,Non-Ferrous,4.819,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-64092,,,,,,,,,
LiCuS,LiCuS,Ceramic,Mixed,3.791,,,,,,,,,39.27684191589836,,,JARVIS dft_3d (scraped),,JVASP-43079,,,,,,,,,
Ba4NaRh,Ba4NaRh,Metal,Non-Ferrous,4.485,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-64428,,,,,,,,,
ZrSn,ZrSn,Metal,Non-Ferrous,7.423,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-90580,,,,,,,,,
AlInO3,AlInO3,Ceramic,Oxide,5.641,,,,,,,,,240.48356948147259,,,JARVIS dft_3d (scraped),,JVASP-50935,,,,,,,,,
Ba4ZrTi,Ba4ZrTi,Metal,Non-Ferrous,4.764,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-64185,,,,,,,,,
LiAgF2,LiAgF2,Ceramic,Mixed,5.706,,,,,,,,,59.82803287128713,,,JARVIS dft_3d (scraped),,JVASP-22698,,,,,,,,,
Ba4BiTe,Ba4BiTe,Metal,Non-Ferrous,5.974,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-64004,,,,,,,,,
Ba4MgGe,Ba4MgGe,Metal,Non-Ferrous,4.198,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-64783,,,,,,,,,
Ba4LiRh,Ba4LiRh,Metal,Non-Ferrous,4.555,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-64046,,,,,,,,,
YTi,YTi,Metal,Non-Ferrous,4.729,,,,,,,,,26.43902027027027,,,JARVIS dft_3d (scraped),,JVASP-37168,,,,,,,,,
KBaNb,KBaNb,Metal,Non-Ferrous,3.011,,,,,,,,,-8.093632075471698,,,JARVIS dft_3d (scraped),,JVASP-64315,,,,,,,,,
Mg3In,Mg3In,Metal,Non-Ferrous,3.45,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-91653,,,,,,,,,
Ho6ReO12,Ho6ReO12,Ceramic,Oxide,8.889,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-50807,,,,,,,,,
Zr5Sb4,Zr5Sb4,Metal,Non-Ferrous,7.742,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-86899,,,,,,,,,
Ba4NbHg,Ba4NbHg,Metal,Non-Ferrous,5.704,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-64721,,,,,,,,,
RbTaO3,RbTaO3,Ceramic,Oxide,7.739,,,,,,,,,172.39648368654085,,,JARVIS dft_3d (scraped),,JVASP-50006,,,,,,,,,
PH5N2O4,PH5N2O4,Unknown,,1.981,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-98438,,,,,,,,,
AlFeO3,AlFeO3,Ceramic,Oxide,4.756,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-43622,,,,,,,,,
Ba4MgIn,Ba4MgIn,Metal,Non-Ferrous,4.245,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-64515,,,,,,,,,
Ba4MgTc,Ba4MgTc,Metal,Non-Ferrous,4.826,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-63957,,,,,,,,,
K3CaP2HO8,K3CaP2HO8,Ceramic,Oxide,2.751,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-52881,,,,,,,,,
Ba9Y2Si6O24,Ba9Y2Si6O24,Ceramic,Oxide,4.985,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-98354,,,,,,,,,
Sm2ZnS4,Sm2ZnS4,Ceramic,Mixed,5.375,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-53435,,,,,,,,,
Li2FeO2F,Li2FeO2F,Ceramic,Oxide,4.128,,,,,,,,,150.82511648392406,,,JARVIS dft_3d (scraped),,JVASP-42398,,,,,,,,,
VS2,VS2,Ceramic,Mixed,3.397,,,,,,,,,74.65148828585876,,,JARVIS dft_3d (scraped),,JVASP-16930,,,,,,,,,
LiCu2F6,LiCu2F6,Ceramic,Mixed,4.246,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-50690,,,,,,,,,
HfSnRh,HfSnRh,Metal,Non-Ferrous,11.712,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-90040,,,,,,,,,
Ba4HfCl,Ba4HfCl,Ceramic,Mixed,4.784,,,,,,,,,3.0311743772241995,,,JARVIS dft_3d (scraped),,JVASP-64241,,,,,,,,,
Li4VCr3O8,Li4VCr3O8,Ceramic,Oxide,4.284,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-43523,,,,,,,,,
Mg6ZnFe,Mg6ZnFe,Metal,Ferrous,2.879,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-92194,,,,,,,,,
Ba4ZrPb,Ba4ZrPb,Metal,Non-Ferrous,5.595,,,,,,,,,12.0,,,JARVIS dft_3d (scraped),,JVASP-64668,,,,,,,,,
Tb2SeO2,Tb2SeO2,Ceramic,Oxide,8.077,,,,,,,,,165.70762059181195,,,JARVIS dft_3d (scraped),,JVASP-50107,,,,,,,,,
RbAuN12,RbAuN12,Ceramic,Nitride,3.413,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-88701,,,,,,,,,
Li3CrSiO5,Li3CrSiO5,Ceramic,Oxide,3.706,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-47760,,,,,,,,,
BeCuPt,BeCuPt,Metal,Non-Ferrous,12.455,,,,,,,,,204.13585521205533,,,JARVIS dft_3d (scraped),,JVASP-65020,,,,,,,,,
Mg3NiO4,Mg3NiO4,Ceramic,Oxide,4.371,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-91608,,,,,,,,,
Li5Ti2Co3O10,Li5Ti2Co3O10,Ceramic,Oxide,4.47,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-48576,,,,,,,,,
Tl2SnF6,Tl2SnF6,Ceramic,Mixed,6.899,,,,,,,,,33.06161042944785,,,JARVIS dft_3d (scraped),,JVASP-3096,,,,,,,,,
NiSnF6,NiSnF6,Ceramic,Mixed,4.687,,,,,,,,,73.86007699061255,,,JARVIS dft_3d (scraped),,JVASP-22617,,,,,,,,,
Ba4BeCr,Ba4BeCr,Metal,Non-Ferrous,4.03,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-64378,,,,,,,,,
La2PI2,La2PI2,Ceramic,Mixed,5.249,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-85271,,,,,,,,,
LiVCuO4,LiVCuO4,Ceramic,Oxide,4.071,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-48745,,,,,,,,,
Sb,Sb,Ceramic,Elemental,6.665,,,,,,,,,82.0486388384755,,,JARVIS dft_3d (scraped),,JVASP-14614,,,,,,,,,
Dy3Mn3Ga2Si,Dy3Mn3Ga2Si,Ceramic,Mixed,8.061,,,,,,,,,46.00224113212782,,,JARVIS dft_3d (scraped),,JVASP-5059,,,,,,,,,
Ba2YBr7,Ba2YBr7,Metal,Non-Ferrous,4.869,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-52544,,,,,,,,,
Ba4TlZn,Ba4TlZn,Metal,Non-Ferrous,5.209,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-64862,,,,,,,,,
ScNiC2,ScNiC2,Ceramic,Carbide,5.129,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-90713,,,,,,,,,
Li4CuSi2O7,Li4CuSi2O7,Ceramic,Oxide,3.049,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-50463,,,,,,,,,
Sn3PO4F3,Sn3PO4F3,Ceramic,Oxide,4.984,,,,,,,,,47.78065027755749,,,JARVIS dft_3d (scraped),,JVASP-97853,,,,,,,,,
LiMn7O12,LiMn7O12,Ceramic,Oxide,4.724,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-48232,,,,,,,,,
Zr2Bi2O7,Zr2Bi2O7,Ceramic,Oxide,7.54,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-50396,,,,,,,,,
WI3O,WI3O,Ceramic,Oxide,6.357,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-88009,,,,,,,,,
Sr5P3ClO12,Sr5P3ClO12,Ceramic,Oxide,4.093,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-13907,,,,,,,,,
Al6Fe,Al6Fe,Metal,Ferrous,3.389,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-86274,,,,,,,,,
Na2CoO3,Na2CoO3,Ceramic,Oxide,4.136,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-44064,,,,,,,,,
RbHSeO4,RbHSeO4,Ceramic,Oxide,3.425,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-88825,,,,,,,,,
YSn3,YSn3,Metal,Non-Ferrous,6.953,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-90768,,,,,,,,,
FeO2,FeO2,Ceramic,Oxide,5.538,,,,,,,,,361.7860412373302,,,JARVIS dft_3d (scraped),,JVASP-42657,,,,,,,,,
LuTaO4,LuTaO4,Ceramic,Oxide,9.769,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-4492,,,,,,,,,
CeAl2Zn2,CeAl2Zn2,Metal,Non-Ferrous,5.615,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-15181,,,,,,,,,
Ca4Al6SO12,Ca4Al6SO12,Ceramic,Oxide,2.442,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-97576,,,,,,,,,
VH16C6N6O7F2,VH16C6N6O7F2,Ceramic,Oxide,1.774,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-98799,,,,,,,,,
SbOF,SbOF,Unknown,,5.239,,,,,,,,,33.84762119328775,,,JARVIS dft_3d (scraped),,JVASP-52341,,,,,,,,,
LiSmAlF6,LiSmAlF6,Ceramic,Mixed,4.366,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-13976,,,,,,,,,
K4SrBe,K4SrBe,Metal,Non-Ferrous,1.271,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-65063,,,,,,,,,
LiMnPO4,LiMnPO4,Ceramic,Oxide,3.268,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-52783,,,,,,,,,
LaMg7,LaMg7,Metal,Non-Ferrous,2.497,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-91890,,,,,,,,,
Co3OF5,Co3OF5,Ceramic,Oxide,4.78,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-44255,,,,,,,,,
K2MnP2O7,K2MnP2O7,Ceramic,Oxide,3.165,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-98090,,,,,,,,,
LaFe5H2,LaFe5H2,Metal,Ferrous,7.289,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-91848,,,,,,,,,
FeP3O9,FeP3O9,Ceramic,Oxide,3.056,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-48310,,,,,,,,,
Sc3RhC4,Sc3RhC4,Ceramic,Carbide,5.086,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-91794,,,,,,,,,
V4O3F9,V4O3F9,Ceramic,Oxide,3.528,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-42804,,,,,,,,,
NaLi5N2,NaLi5N2,Ceramic,Nitride,1.45,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-86845,,,,,,,,,
CoIN2O2,CoIN2O2,Ceramic,Oxide,3.325,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-97500,,,,,,,,,
Na2TiO3,Na2TiO3,Ceramic,Oxide,3.533,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-52477,,,,,,,,,
Li2CuO2,Li2CuO2,Ceramic,Oxide,3.682,,,,,,,,,126.81528035358349,,,JARVIS dft_3d (scraped),,JVASP-15431,,,,,,,,,
Li3CoOF3,Li3CoOF3,Ceramic,Oxide,3.679,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-48462,,,,,,,,,
TiCo3,TiCo3,Metal,Non-Ferrous,8.163,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-91939,,,,,,,,,
LiFeCoO4,LiFeCoO4,Ceramic,Oxide,4.709,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-47623,,,,,,,,,
BaNiF6,BaNiF6,Ceramic,Mixed,4.671,,,,,,,,,71.9003782966899,,,JARVIS dft_3d (scraped),,JVASP-85447,,,,,,,,,
Sr2H6Os,Sr2H6Os,Metal,Non-Ferrous,5.584,,,,,,,,,83.49253958587089,,,JARVIS dft_3d (scraped),,JVASP-90336,,,,,,,,,
TiAlNi6,TiAlNi6,Metal,Superalloy,7.791,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-107736,,,,,,,,,
HfScCo2,HfScCo2,Metal,Non-Ferrous,9.309,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-41360,,,,,,,,,
LiFe2O2F3,LiFe2O2F3,Ceramic,Oxide,3.685,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-42721,,,,,,,,,
BeTl4W,BeTl4W,Metal,Non-Ferrous,11.115,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-65102,,,,,,,,,
Ni2Sn4Au,Ni2Sn4Au,Metal,Superalloy,9.116,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-86779,,,,,,,,,
NdMgSi2,NdMgSi2,Ceramic,Mixed,4.434,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-86678,,,,,,,,,
Ba4LaGe,Ba4LaGe,Metal,Non-Ferrous,4.802,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-64585,,,,,,,,,
Ce2Nd2O7,Ce2Nd2O7,Ceramic,Oxide,6.6,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-49949,,,,,,,,,
YbIn2Pt,YbIn2Pt,Metal,Non-Ferrous,11.02,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-91746,,,,,,,,,
KGaCl4,KGaCl4,Ceramic,Mixed,2.468,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-97379,,,,,,,,,
LaZn5,LaZn5,Metal,Non-Ferrous,6.987,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-86369,,,,,,,,,
Tc3Pd,Tc3Pd,Metal,Non-Ferrous,11.431,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-91989,,,,,,,,,
La4Ni3O8,La4Ni3O8,Ceramic,Oxide,6.945,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-86026,,,,,,,,,
Fe11Co5,Fe11Co5,Metal,Ferrous,8.252,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-85365,,,,,,,,,
Mn6O7F5,Mn6O7F5,Ceramic,Oxide,4.628,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-42540,,,,,,,,,
TbB3O6,TbB3O6,Ceramic,Oxide,4.82,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-88121,,,,,,,,,
VOF3,VOF3,Ceramic,Oxide,3.236,,,,,,,,,34.76379402077527,,,JARVIS dft_3d (scraped),,JVASP-48645,,,,,,,,,
PrAlH6,PrAlH6,Metal,Non-Ferrous,3.79,,,,,,,,,132.30036449320716,,,JARVIS dft_3d (scraped),,JVASP-90812,,,,,,,,,
Li2Mn2F7,Li2Mn2F7,Ceramic,Mixed,3.041,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-48922,,,,,,,,,
P6H24N6O19,P6H24N6O19,Unknown,,1.943,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-88347,,,,,,,,,
RbAlO3,RbAlO3,Ceramic,Oxide,4.399,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-38346,,,,,,,,,
Ba2MgH6,Ba2MgH6,Metal,Non-Ferrous,3.949,,,,,,,,,78.75977175645521,,,JARVIS dft_3d (scraped),,JVASP-85665,,,,,,,,,
LiYO3,LiYO3,Ceramic,Oxide,4.894,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-38540,,,,,,,,,
Tl6TeO6,Tl6TeO6,Ceramic,Oxide,8.443,,,,,,,,,22.672696236183015,,,JARVIS dft_3d (scraped),,JVASP-4591,,,,,,,,,
RePbClO4,RePbClO4,Ceramic,Oxide,6.767,,,,,,,,,43.78547120418849,,,JARVIS dft_3d (scraped),,JVASP-86570,,,,,,,,,
RbF3,RbF3,Ceramic,Mixed,3.552,,,,,,,,,11.570023436536326,,,JARVIS dft_3d (scraped),,JVASP-38312,,,,,,,,,
RbBi,RbBi,Metal,Non-Ferrous,5.509,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-98226,,,,,,,,,
KH2I3O,KH2I3O,Ceramic,Oxide,3.771,,,,,,,,,16.34862661902635,,,JARVIS dft_3d (scraped),,JVASP-85785,,,,,,,,,
HoCoSi2,HoCoSi2,Ceramic,Mixed,7.155,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-87103,,,,,,,,,
RbLiO3,RbLiO3,Ceramic,Oxide,3.368,,,,,,,,,13.020142180094787,,,JARVIS dft_3d (scraped),,JVASP-38306,,,,,,,,,
V2O3F,V2O3F,Ceramic,Oxide,4.459,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-42221,,,,,,,,,
LiHS,LiHS,Ceramic,Mixed,1.436,,,,,,,,,15.443950665622552,,,JARVIS dft_3d (scraped),,JVASP-85713,,,,,,,,,
MnSe2O6,MnSe2O6,Ceramic,Oxide,4.124,,,,,,,,,81.51346008968609,,,JARVIS dft_3d (scraped),,JVASP-87207,,,,,,,,,
UInPt,UInPt,Metal,Non-Ferrous,13.84,,,,,,,,,113.5845899333827,,,JARVIS dft_3d (scraped),,JVASP-90168,,,,,,,,,
TiFeCoAs,TiFeCoAs,Metal,Ferrous,7.915,,,,,,,,,29.529734868490547,,,JARVIS dft_3d (scraped),,JVASP-37035,,,,,,,,,
Yb2InCu2,Yb2InCu2,Metal,Non-Ferrous,9.516,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-97801,,,,,,,,,
BeNi4Ru,BeNi4Ru,Metal,Superalloy,8.2,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-64946,,,,,,,,,
Eu2I2O,Eu2I2O,Ceramic,Oxide,7.115,,,,,,,,,34.36077664097794,,,JARVIS dft_3d (scraped),,JVASP-85922,,,,,,,,,
NaH2SO4,NaH2SO4,Ceramic,Oxide,2.24,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-98932,,,,,,,,,
Ag3O4,Ag3O4,Ceramic,Oxide,6.924,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-85852,,,,,,,,,
CeN,CeN,Ceramic,Nitride,8.022,,,,,,,,,216.8693498452012,,,JARVIS dft_3d (scraped),,JVASP-14575,,,,,,,,,
LaIn5Co,LaIn5Co,Metal,Non-Ferrous,7.656,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-98701,,,,,,,,,
Ba4ZrCu,Ba4ZrCu,Metal,Non-Ferrous,4.662,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-64188,,,,,,,,,
Nb2FeO6,Nb2FeO6,Ceramic,Oxide,5.72,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-88512,,,,,,,,,
SiNi,SiNi,Ceramic,Mixed,6.161,,,,,,,,,116.6410649720609,,,JARVIS dft_3d (scraped),,JVASP-90627,,,,,,,,,
ThTi2O6,ThTi2O6,Ceramic,Oxide,5.971,,,,,,,,,186.12088883901018,,,JARVIS dft_3d (scraped),,JVASP-86502,,,,,,,,,
Ba4TaCo,Ba4TaCo,Metal,Non-Ferrous,5.759,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-63915,,,,,,,,,
Mn2SiRu,Mn2SiRu,Ceramic,Mixed,8.16,,,,,,,,,178.10899642183333,,,JARVIS dft_3d (scraped),,JVASP-37194,,,,,,,,,
Mn3Ga,Mn3Ga,Metal,Non-Ferrous,8.327,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-37189,,,,,,,,,
TiFe2As,TiFe2As,Metal,Ferrous,7.972,,,,,,,,,68.82484358945989,,,JARVIS dft_3d (scraped),,JVASP-37044,,,,,,,,,
RbZnO3,RbZnO3,Ceramic,Oxide,4.702,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-38278,,,,,,,,,
ThN,ThN,Unknown,,11.732,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-19857,,,,,,,,,
NaSrO3,NaSrO3,Ceramic,Oxide,3.637,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-38694,,,,,,,,,
Co3Bi,Co3Bi,Metal,Non-Ferrous,11.548,,,,,,,,,128.46799867138196,,,JARVIS dft_3d (scraped),,JVASP-37946,,,,,,,,,
Ti2GaFe,Ti2GaFe,Metal,Ferrous,6.543,,,,,,,,,81.66994346425447,,,JARVIS dft_3d (scraped),,JVASP-37051,,,,,,,,,
RbNiO3,RbNiO3,Ceramic,Oxide,5.237,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-38325,,,,,,,,,
BaNaSc,BaNaSc,Metal,Non-Ferrous,2.595,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-64005,,,,,,,,,
HoAg,HoAg,Metal,Non-Ferrous,9.792,,,,,,,,,83.30667899237348,,,JARVIS dft_3d (scraped),,JVASP-15056,,,,,,,,,
Ba4CuSe,Ba4CuSe,Metal,Non-Ferrous,4.82,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-64131,,,,,,,,,
TiFe2Sb,TiFe2Sb,Metal,Ferrous,8.471,,,,,,,,,120.99044036055245,,,JARVIS dft_3d (scraped),,JVASP-37031,,,,,,,,,
Ca3La3B5O15,Ca3La3B5O15,Ceramic,Oxide,4.478,,,,,,,,,,,,JARVIS dft_3d (scraped),,JVASP-98615,,,,,,,,,
NdTe,NdTe,Metal,Non-Ferrous,7.022,,,,,,,,,88.35350756533701,,,JARVIS dft_3d (scraped),,JVASP-14789,,,,,,,,,
